chain_id,start_date,end_date,duration_days,max_area_km2,mean_area_km2,total_area_km2,min_temperature,mean_min_temperature,mean_temperature,max_lat,min_lat,max_lon,min_lon,total_clusters,max_clusters_per_day,mean_clusters_per_day,max_cluster_area_day,coldest_temp_day
28,1942-01-30,1942-01-30,1,1072583.5335724838,1072583.5335724838,1072583.5335724838,-2.5250218,-2.5250218,-1.757760932102685,118,118,326,326,1,1,1.0,1942-01-30,1942-01-30
29,1942-02-03,1942-02-05,3,2358094.6402678224,1776583.7353775802,5329751.206132741,-3.334973,-2.877777,-1.8802219735185133,120,118,365,298,3,1,1.0,1942-02-03,1942-02-03
30,1942-02-09,1942-02-09,1,762819.9060754225,762819.9060754225,762819.9060754225,-3.0585558,-3.0585558,-1.986569736964667,110,110,277,277,1,1,1.0,1942-02-09,1942-02-09
31,1942-02-13,1942-02-21,9,3509865.993215134,1850711.3159445354,16656401.843500819,-4.315148,-3.5537124,-1.9824561300271384,135,110,306,137,9,1,1.0,1942-02-18,1942-02-18
32,1942-02-23,1942-02-24,2,941249.1126839087,753660.2744376925,1507320.548875385,-3.4591568,-3.209735,-1.8980941087232297,127,111,165,130,2,1,1.0,1942-02-24,1942-02-23
33,1942-02-26,1942-02-28,3,1527114.5472816643,1027498.2374932853,3082494.712479856,-3.5144134,-3.2764034,-1.9434922958555372,168,120,255,146,3,1,1.0,1942-02-26,1942-02-26
34,1942-12-04,1942-12-05,2,567008.6481834878,538486.4487687196,1076972.8975374391,-3.5543606,-3.2504592,-1.8939496880192856,105,105,152,142,2,1,1.0,1942-12-05,1942-12-04
35,1942-12-16,1942-12-26,11,3198243.17403715,1371531.5314144217,21944504.502630748,-3.9736152,-3.1029258,-1.952667314935177,109,24,362,34,16,2,1.4545454545454546,1942-12-21,1942-12-21
36,1942-12-30,1942-12-30,1,775101.2106681118,775101.2106681118,775101.2106681118,-2.269441,-2.269441,-1.6796082479918761,16,16,230,230,1,1,1.0,1942-12-30,1942-12-30
37,1943-01-09,1943-01-09,1,584476.0069237266,584476.0069237266,584476.0069237266,-3.0080636,-3.0080636,-1.9421904142620494,109,109,291,291,1,1,1.0,1943-01-09,1943-01-09
38,1943-01-13,1943-01-13,1,554873.1342780334,554873.1342780334,554873.1342780334,-2.234611,-2.234611,-1.7275866298477884,112,112,245,245,1,1,1.0,1943-01-13,1943-01-13
39,1943-01-15,1943-02-01,18,9935842.516627401,3543413.8734703315,77955105.21634729,-7.2915535,-3.9242325,-2.0206049756205497,113,31,414,36,22,2,1.2222222222222223,1943-01-19,1943-01-20
40,1943-02-04,1943-02-20,17,4754707.504531459,1605303.5150489123,35316677.33107607,-4.454774,-3.118972,-1.9071048060652296,124,8,392,27,22,3,1.2941176470588236,1943-02-16,1943-02-06
41,1943-02-25,1943-02-27,3,816481.9350017336,703840.0848967944,2111520.254690383,-2.5505657,-2.4319556,-1.8544380044023878,150,38,394,297,3,1,1.0,1943-02-26,1943-02-26
42,1943-03-02,1943-03-04,3,2724357.8440861073,1849214.2683692842,5547642.805107852,-3.0507097,-2.76624,-1.8333021642326701,141,103,282,234,3,1,1.0,1943-03-04,1943-03-03
43,1943-03-07,1943-03-10,4,2305881.796145885,1182253.612938427,5911268.064692135,-3.498514,-2.8953497,-1.8259636932720569,116,21,410,260,5,2,1.25,1943-03-10,1943-03-09
44,1943-03-12,1943-03-17,6,1525282.5252585325,827754.5924696819,4966527.554818091,-4.2380238,-3.794605,-2.1595589617997284,63,18,414,408,6,1,1.0,1943-03-17,1943-03-13
45,1943-12-23,1943-12-24,2,661849.4005953333,590288.093642097,1180576.187284194,-2.3428626,-2.3404057,-1.7484329863535875,104,99,315,310,2,1,1.0,1943-12-23,1943-12-23
46,1943-12-28,1943-12-28,1,604404.4511638838,604404.4511638838,604404.4511638838,-2.9586084,-2.9586084,-1.9777321894805742,124,124,168,168,1,1,1.0,1943-12-28,1943-12-28
47,1944-01-04,1944-01-05,2,714366.4394553629,690328.481713987,1380656.963427974,-3.351968,-3.2882867,-2.0866511411072466,125,111,164,130,2,1,1.0,1944-01-05,1944-01-04
48,1944-01-07,1944-01-09,3,2787561.8792127515,1977018.489953925,5931055.469861775,-3.9930654,-3.6378405,-2.0671847792214595,153,109,192,139,3,1,1.0,1944-01-09,1944-01-08
49,1944-01-11,1944-01-12,2,946040.6814269207,914898.562185775,1829797.12437155,-3.5409038,-3.2106462,-1.9117832648517852,123,104,161,139,2,1,1.0,1944-01-12,1944-01-12
50,1944-01-14,1944-01-15,2,1218240.7949237295,1018573.7203424237,2037147.4406848473,-4.2888546,-4.1286616,-2.067115194365318,175,171,202,194,2,1,1.0,1944-01-14,1944-01-14
51,1944-01-18,1944-01-18,1,734850.4817014515,734850.4817014515,734850.4817014515,-2.1111534,-2.1111534,-1.6732608927471193,37,37,375,375,1,1,1.0,1944-01-18,1944-01-18
52,1944-01-26,1944-01-30,5,1097285.398106632,879320.9472642086,6155246.63084946,-3.7655387,-3.1714954,-1.9728436815621957,123,102,408,122,7,2,1.4,1944-01-28,1944-01-29
53,1944-02-09,1944-02-09,1,930686.7516550752,930686.7516550752,930686.7516550752,-2.5978482,-2.5978482,-1.7599348158791852,98,98,340,340,1,1,1.0,1944-02-09,1944-02-09
54,1944-02-11,1944-02-13,3,1320624.5611941705,960612.4552778531,2881837.365833559,-3.322202,-3.1630986,-1.9952514151527911,117,111,257,180,3,1,1.0,1944-02-11,1944-02-11
55,1944-02-19,1944-02-22,4,3331653.80186781,2216599.7935008695,8866399.174003478,-3.3567235,-3.0326812,-1.9689473713125532,107,102,409,308,4,1,1.0,1944-02-19,1944-02-20
56,1944-03-03,1944-03-04,2,1315232.889654425,1069238.9483953598,2138477.8967907196,-2.248427,-2.1888723,-1.7775541859731496,111,98,364,360,2,1,1.0,1944-03-03,1944-03-04
57,1944-03-19,1944-03-20,2,692714.0737617204,652051.4697676897,1304102.9395353794,-2.2279942,-2.1063805,-1.7459613344789036,102,75,410,351,2,1,1.0,1944-03-20,1944-03-20
58,1944-03-22,1944-03-23,2,1050268.2548446055,1026903.944549032,2053807.889098064,-2.6455474,-2.3892074,-1.8347201196169876,113,109,408,402,2,1,1.0,1944-03-22,1944-03-23
59,1944-12-10,1944-12-10,1,552078.4303813403,552078.4303813403,552078.4303813403,-2.8728201,-2.8728201,-1.9705915393798812,119,119,158,158,1,1,1.0,1944-12-10,1944-12-10
60,1944-12-22,1944-12-27,6,875351.8172226503,657259.948550609,3943559.6913036546,-3.1614852,-2.8758767,-1.9169987612678983,114,87,284,127,6,1,1.0,1944-12-22,1944-12-22
61,1944-12-29,1944-12-31,3,920461.0292659412,753881.8754129586,2261645.6262388756,-3.2292762,-2.9486418,-1.854000005696595,45,35,79,53,3,1,1.0,1944-12-31,1944-12-30
62,1945-01-02,1945-01-02,1,957312.8929510043,957312.8929510043,957312.8929510043,-2.6878064,-2.6878064,-1.848215260862434,116,116,251,251,1,1,1.0,1945-01-02,1945-01-02
63,1945-01-04,1945-01-10,7,2153500.4632722256,1216970.0009096812,8518790.00636777,-3.1379352,-2.4499307,-1.738418614060776,93,40,316,138,7,1,1.0,1945-01-10,1945-01-10
64,1945-01-12,1945-01-15,4,1889712.6769763797,1277067.413970544,5108269.655882176,-2.328695,-2.1511002,-1.7092988012790318,57,52,323,283,4,1,1.0,1945-01-13,1945-01-14
65,1945-01-21,1945-01-22,2,909880.962615162,830887.3303136704,1661774.660627341,-4.5107574,-3.821678,-1.9415183530867948,133,121,145,131,2,1,1.0,1945-01-22,1945-01-21
66,1945-01-24,1945-01-26,3,2545564.9415221945,1422010.8459866259,4266032.537959877,-4.121648,-3.4409702,-2.0244895830574063,147,108,305,144,3,1,1.0,1945-01-25,1945-01-24
67,1945-01-28,1945-02-02,6,2075322.9697793555,962334.4108397481,5774006.465038489,-4.17066,-3.3266525,-1.9240870071397402,146,120,310,152,6,1,1.0,1945-02-01,1945-01-30
68,1945-02-07,1945-02-09,3,2113909.7794195316,1540455.1514051147,4621365.454215344,-3.0703917,-3.011675,-1.9893749411220822,71,55,399,391,3,1,1.0,1945-02-08,1945-02-08
69,1945-02-14,1945-02-18,5,861698.3089907322,743487.3767285632,3717436.883642816,-2.826327,-2.536429,-1.7686830135374154,100,31,234,42,5,1,1.0,1945-02-15,1945-02-14
70,1945-02-20,1945-02-27,8,1604839.2113573623,1083853.8447665642,8670830.758132514,-4.6608987,-3.5760617,-2.101896328607409,25,16,411,369,8,1,1.0,1945-02-23,1945-02-24
71,1945-03-05,1945-03-05,1,1068489.934855088,1068489.934855088,1068489.934855088,-3.4135518,-3.4135518,-1.9497227960503194,102,102,140,140,1,1,1.0,1945-03-05,1945-03-05
72,1945-11-21,1945-11-21,1,541711.4373978163,541711.4373978163,541711.4373978163,-3.6041503,-3.6041503,-2.0020887479265235,113,113,149,149,1,1,1.0,1945-11-21,1945-11-21
73,1945-12-09,1945-12-10,2,636863.8759671059,601000.3027487331,1202000.6054974662,-3.508745,-3.2634583,-2.017798715918134,115,108,155,138,2,1,1.0,1945-12-09,1945-12-10
74,1945-12-13,1945-12-21,9,2648414.3777445643,1597047.9865103906,14373431.878593516,-4.2707987,-3.2285838,-1.9268216310549886,137,89,255,134,9,1,1.0,1945-12-20,1945-12-14
75,1946-01-04,1946-01-05,2,948981.3225297806,875541.51219646,1751083.02439292,-2.6059368,-2.568676,-1.8243506159006935,49,42,368,345,2,1,1.0,1946-01-05,1946-01-05
76,1946-01-07,1946-01-23,17,6015501.650106825,2267487.1457766634,49884717.20708659,-7.726471,-3.8786528,-1.997693600120396,176,22,365,126,22,3,1.2941176470588236,1946-01-17,1946-01-15
77,1946-01-26,1946-02-06,12,3355634.773717885,1282696.8763761662,21805846.898394827,-5.020334,-2.9966748,-1.8612444549313496,140,32,358,124,17,2,1.4166666666666667,1946-01-27,1946-02-05
78,1946-02-08,1946-02-16,9,1813384.971421936,926536.890530884,12971516.467432376,-4.2143946,-2.9429965,-1.8531752682552234,144,20,374,121,14,3,1.5555555555555556,1946-02-13,1946-02-12
79,1946-02-19,1946-02-20,2,1427699.1346656496,1313134.6615758617,2626269.3231517235,-2.221206,-2.1947546,-1.6808911046448114,106,105,381,345,2,1,1.0,1946-02-20,1946-02-20
80,1946-02-24,1946-02-25,2,818332.2523613052,784109.9922246508,1568219.9844493016,-2.3393974,-2.2371364,-1.8074100956173584,70,70,401,398,2,1,1.0,1946-02-24,1946-02-24
81,1946-11-19,1946-11-21,3,595177.3901884117,563530.546269572,1690591.638808716,-3.771357,-3.511173,-2.015808958127774,71,65,105,90,3,1,1.0,1946-11-19,1946-11-19
82,1946-12-08,1946-12-18,11,2722895.3661088697,1626876.951263197,17895646.46389517,-3.8165984,-3.2811892,-2.0308606135240086,105,27,142,26,11,1,1.0,1946-12-13,1946-12-13
83,1946-12-27,1947-01-08,13,8382369.462699358,3192041.7485543177,60648793.22253204,-6.6581416,-3.8278334,-1.9794183171361521,163,44,409,132,19,2,1.4615384615384615,1947-01-03,1947-01-06
84,1947-01-10,1947-01-11,2,1362921.1237428125,1301184.114990518,2602368.229981036,-2.2649183,-2.131795,-1.6819513650327447,112,92,400,357,2,1,1.0,1947-01-11,1947-01-10
85,1947-01-13,1947-02-11,30,6701688.646010195,2197003.1919739367,87880127.67895746,-5.558395,-3.6348557,-2.0192656177775707,162,11,413,19,40,3,1.3333333333333333,1947-02-05,1947-01-14
86,1947-02-19,1947-02-19,1,592977.8166109109,592977.8166109109,592977.8166109109,-2.5998478,-2.5998478,-1.9250038204328068,105,105,253,253,1,1,1.0,1947-02-19,1947-02-19
87,1947-02-22,1947-02-22,1,697522.2866129011,697522.2866129011,697522.2866129011,-2.0563443,-2.0563443,-1.7372381011754465,144,144,303,303,1,1,1.0,1947-02-22,1947-02-22
88,1947-02-24,1947-02-25,2,1270631.949841786,895216.1890943691,1790432.3781887381,-3.1561587,-2.8366468,-1.8249557271622474,154,150,292,268,2,1,1.0,1947-02-24,1947-02-24
89,1947-03-01,1947-03-01,1,546074.7523606871,546074.7523606871,546074.7523606871,-3.1108363,-3.1108363,-1.9727745318217755,106,106,168,168,1,1,1.0,1947-03-01,1947-03-01
90,1947-03-03,1947-03-03,1,976959.7366530088,976959.7366530088,976959.7366530088,-2.9557447,-2.9557447,-1.8536865784080474,161,161,273,273,1,1,1.0,1947-03-03,1947-03-03
91,1947-03-13,1947-03-13,1,565879.385480267,565879.385480267,565879.385480267,-1.9549979,-1.9549979,-1.6789866407499807,83,83,412,412,1,1,1.0,1947-03-13,1947-03-13
92,1947-11-22,1947-11-23,2,1261668.9866336435,1212268.8613045793,2424537.7226091586,-3.3723023,-3.3376594,-1.9985934176768048,120,110,153,139,2,1,1.0,1947-11-22,1947-11-22
93,1947-12-09,1947-12-16,8,1885028.8246341376,1261225.157243047,10089801.257944375,-5.3247643,-4.24032,-2.1051011535391853,179,129,195,136,8,1,1.0,1947-12-13,1947-12-15
94,1947-12-26,1947-12-26,1,601276.6053217712,601276.6053217712,601276.6053217712,-3.7307177,-3.7307177,-2.1190583880522396,176,176,190,190,1,1,1.0,1947-12-26,1947-12-26
95,1947-12-30,1948-01-02,4,2012336.9822253897,1094518.1292783287,5472590.646391643,-5.759799,-3.3400395,-1.8597050007686426,150,36,259,151,5,2,1.25,1948-01-01,1948-01-01
96,1948-01-11,1948-01-12,2,1155889.7040133534,844352.8092976636,1688705.6185953273,-2.8318136,-2.523553,-1.7880231395607726,124,123,368,335,2,1,1.0,1948-01-11,1948-01-12
97,1948-01-14,1948-02-19,37,8176436.948848813,2862290.549398141,143114527.46990705,-7.800368,-3.6494553,-1.9675957729430018,148,10,402,55,50,3,1.3513513513513513,1948-01-28,1948-01-29
98,1948-02-24,1948-02-26,3,1908640.5062094128,1448436.6167588935,4345309.850276681,-3.0852628,-2.8359706,-1.9180086789793247,116,109,396,367,3,1,1.0,1948-02-24,1948-02-25
99,1948-02-28,1948-03-08,10,5109114.7794144405,2433404.812573462,31634262.563455,-4.6954575,-3.32789,-1.9752634994595797,137,52,399,176,13,2,1.3,1948-03-05,1948-03-06
100,1948-03-10,1948-03-15,6,3815488.6322642392,2416513.226085174,16915592.582596216,-4.9277167,-3.3459206,-1.9925522725849703,136,44,407,194,7,2,1.1666666666666667,1948-03-11,1948-03-11
101,1948-03-18,1948-03-20,3,1561572.2004877036,1302537.4355978805,3907612.3067936418,-3.1831424,-2.9978542,-1.841335224011896,68,45,410,393,3,1,1.0,1948-03-20,1948-03-20
102,1948-03-23,1948-03-24,2,711035.08038675,613525.34563336,1227050.69126672,-2.4944837,-2.2532177,-1.781364446033959,116,111,408,399,2,1,1.0,1948-03-24,1948-03-24
103,1948-03-26,1948-03-26,1,1645427.7495491058,1645427.7495491058,1645427.7495491058,-2.1886456,-2.1886456,-1.7443003160630202,104,104,404,404,1,1,1.0,1948-03-26,1948-03-26
104,1948-11-26,1948-11-30,5,1401078.1604534977,1070557.127267402,6423342.763604411,-3.6477466,-3.0352736,-1.952517098510297,169,21,187,33,6,2,1.2,1948-11-29,1948-11-26
105,1948-12-03,1948-12-18,16,3238907.9495143564,1745407.6860514772,27926522.976823635,-3.9752586,-3.1111333,-2.0181993750815073,97,21,131,34,16,1,1.0,1948-12-09,1948-12-08
106,1948-12-22,1948-12-27,6,3171651.3318045875,1608487.5162721595,9650925.097632958,-4.801054,-4.2583075,-2.083931024391287,126,103,285,125,6,1,1.0,1948-12-26,1948-12-25
